mirId	Cancer	Profile	PubMed Article
hsa-let-7a	breast cancer	down	MicroRNA let-7a suppresses breast cancer cell migration and invasion through downregulation of C-C chemokine receptor type 7.
hsa-let-7a	breast cancer	down	The heterochronic microRNA let-7 inhibits cell motility by regulating the genes in the actin cytoskeleton pathway in breast cancer.
hsa-let-7a	colorectal cancer	down	Association of microRNA expression with microsatellite instability status in colorectal adenocarcinoma.
hsa-let-7a	gastric cancer	down	miRNA-223 promotes gastric cancer invasion and metastasis by targeting tumor suppressor EPB41L3.
hsa-let-7a	gastric cancer	down	Investigation and identification of let-7a related functional proteins in gastric carcinoma by proteomics.
hsa-let-7a	gastric cancer	down	Differentially expressed proteins identified in overexpressed let-7a gastric carcinoma cells by two-dimensional polyacrylamide gel electrophoresis.
hsa-let-7a	gastric cancer	down	Circulating microRNAs in plasma of patients with gastric cancers.
hsa-let-7a	gastric cancer	down	Lentiviral vector-mediated upregulation of let-7a inhibits gastric carcinoma cell growth in vitro and in vivo.
hsa-let-7a	gastric cancer	down	Low-level expression of let-7a in gastric cancer and its involvement in tumorigenesis by targeting RAB40C.
hsa-let-7a	non-small cell lung cancer	down	Circulating micro-RNA expression profiles in early stage nonsmall cell lung cancer.
hsa-let-7a	renal cell carcinoma	down	Hsa-let-7a functions as a tumor suppressor in renal cell carcinoma cell lines by targeting c-myc.
hsa-let-7b	acute lymphoblastic leukemia	down	Suppression of the let-7b microRNA pathway by DNA hypermethylation in infant acute lymphoblastic leukemia with MLL gene rearrangements.
hsa-let-7b	breast cancer	down	The heterochronic microRNA let-7 inhibits cell motility by regulating the genes in the actin cytoskeleton pathway in breast cancer.
hsa-let-7b	breast cancer	down	Analysis of miR-205 and miR-155 expression in the blood of breast cancer patients.
hsa-let-7b	malignant melanoma	down	MicroRNA let-7b targets important cell cycle molecules in malignant melanoma cells and interferes with anchorage-independent growth.
hsa-let-7c	acute myeloid leukemia	down	miRNA let-7c promotes granulocytic differentiation in acute myeloid leukemia.
hsa-let-7c	acute promyelocytic leukemia	down	A restricted signature of miRNAs distinguishes APL blasts from normal promyelocytes.
hsa-let-7c	prostate cancer	down	MicroRNA let-7c suppresses androgen receptor expression and activity via regulation of Myc expression in prostate cancer cells.
hsa-let-7c	prostate cancer	down	MicroRNA let-7c is downregulated in prostate cancer and suppresses prostate cancer growth.
hsa-let-7d	head and neck squamous cell carcinoma	down	Low-level expression of microRNAs let-7d and miR-205 are prognostic markers of head and neck squamous cell carcinoma.
hsa-let-7d	oral cancer	down	Let-7d functions as novel regulator of epithelial-mesenchymal transition and chemoresistant property in oral cancer.
hsa-let-7d	pancreatic ductal adenocarcinoma	down	MicroRNAs Targeting Oncogenes Are Down-Regulated in Pancreatic Malignant Transformation from Benign Tumors.
hsa-let-7g	breast cancer	down	The heterochronic microRNA let-7 inhibits cell motility by regulating the genes in the actin cytoskeleton pathway in breast cancer.
hsa-mir-1	bladder cancer	down	The tumour-suppressive function of miR-1 and miR-133a targeting TAGLN2 in bladder cancer.
hsa-mir-1	head and neck squamous cell carcinoma	down	Low-level expression of microRNAs let-7d and miR-205 are prognostic markers of head and neck squamous cell carcinoma.
hsa-mir-1	head and neck squamous cell carcinoma	down	miR-1 as a tumor suppressive microRNA targeting TAGLN2 in head and neck squamous cell carcinoma.
hsa-mir-1	lung cancer	down	Down-regulation of micro-RNA-1 (miR-1) in lung cancer. Suppression of tumorigenic property of lung cancer cells and their sensitization to doxorubicin-induced apoptosis by miR-1.
hsa-mir-1	renal cell carcinoma	down	The functional significance of miR-1 and miR-133a in renal cell carcinoma.
hsa-mir-100	breast cancer	down	miR-100 suppresses IGF2 and inhibits breast tumorigenesis by interfering with proliferation and survival signaling.
hsa-mir-100	esophageal squamous cell carcinoma	down	MicroRNA-99a/100 promotes apoptosis by targeting mTOR in human esophageal squamous cell carcinoma.
hsa-mir-100	gastric cancer	up	miRNA-223 promotes gastric cancer invasion and metastasis by targeting tumor suppressor EPB41L3.
hsa-mir-100	hepatocellular carcinoma	down	Sequential analysis of multistage hepatocarcinogenesis reveals that miR-100 and PLK1 dysregulation is an early event maintained along tumor progression.
hsa-mir-100	non-small cell lung cancer	down	MicroRNA-100 is a potential molecular marker of non-small cell lung cancer and functions as a tumor suppressor by targeting polo-like kinase 1.
hsa-mir-100	oral squamous cell carcinoma	down	Decreased expression of miR-125b and miR-100 in oral cancer cells contributes to malignancy.
hsa-mir-100	ovarian carcinoma	down	Prognostic implications of microRNA-100 and its functional roles in human epithelial ovarian cancer.
hsa-mir-100	renal cell carcinoma	up	Overexpression of microRNA-100 predicts an unfavorable prognosis in renal cell carcinoma.
hsa-mir-101	bladder cancer	down	MicroRNA-101 suppresses motility of bladder cancer cells by targeting c-Met.
hsa-mir-101	cholangiocarcinoma	down	miR-101 inhibits cholangiocarcinoma angiogenesis through targeting vascular endothelial growth factor (VEGF).
hsa-mir-101	colon cancer	down	Loss of miR-101 Expression Promotes Wnt/?-Catenin Signalling Pathway Activation and Malignancy in Colon Cancer Cells.
hsa-mir-101	gastric cancer	down	Lack of microRNA-101 causes E-cadherin functional deregulation through EZH2 up-regulation in intestinal gastric cancer.
hsa-mir-101	gastric cancer	down	Down-regulation of miR-101 in gastric cancer correlates with COX-2 overexpression and tumor growth.
